id,zh_title,ru_title,current_def_starts_with,current_def_ru_term,category,has_ru_def,issue
50,缩略记号,аббревиатура,缩略记号。знаки сокращения,,记谱法与乐理基础,True,no_exact_match
51,声音,звук,声音。физическое явление,,记谱法与乐理基础,True,no_exact_match
52,音列,звукоряд,音列。все звуки музыкальной системы,см.,记谱法与乐理基础,True,no_exact_match
53,谱号,ключ,谱号。условный знак,,记谱法与乐理基础,True,no_exact_match
54,调号（复数）,ключевые знаки,调号,复数,记谱法与乐理基础,True,no_exact_match
56,记谱法,нотация,,,记谱法与乐理基础,True,no_exact_match
58,谱架/指挥台,пульт,,,记谱法与乐理基础,True,no_exact_match
60,音高,высота звука,音高。одно из основных свойств музыкального звука,см. звук. музыкальный звук,记谱法与乐理基础,True,no_exact_match
62,钩谱号,крюки,钩谱号。условные знаки,,记谱法与乐理基础,True,no_exact_match
68,音名字母标注,буквенные обозначения звуков,,,记谱法与乐理基础,True,no_exact_match
71,速度,темп,速度是音乐进行的快慢程度,,节拍节奏与速度,True,no_exact_match
84,拍（节拍单位）,бит,拍,节拍单位,节拍节奏与速度,True,no_exact_match
85,拍（节拍）,доля такта,拍,节拍,节拍节奏与速度,True,no_exact_match
86,节拍（音乐拍子）,музыкальный размер,节拍,音乐拍子,节拍节奏与速度,True,no_exact_match
87,不完全小节,неполный такт,不完全小节。такт,,节拍节奏与速度,True,no_exact_match
88,九连音,новемдоль,九连音。особая ритмическая фигура,,节拍节奏与速度,True,no_exact_match
89,附点节奏,пунктирный ритм,附点节奏。см. Ритм. ПУЧЧИНИ Джакомо,1858—1924,节拍节奏与速度,True,no_exact_match
92,六连音,секстоль,六连音。особая ритмическая фигура,,节拍节奏与速度,True,no_exact_match
94,击拍,тактирование,击拍。движения рук,или постукивание ногой,节拍节奏与速度,True,no_exact_match
95,十连音,децимоль,十连音。особая ритмическая фигура,,节拍节奏与速度,True,no_exact_match
96,音的时值,длительность звука,音的时值。продолжительность звучания,,节拍节奏与速度,True,no_exact_match
100,四连音,квартоль,四连音。особая ритмическая фигура,,节拍节奏与速度,True,no_exact_match
101,五连音,квинтоль,五连音。особая ритмическая фигура,,节拍节奏与速度,True,no_exact_match
122,生动地（animato）,анимато,生动地,анимато/animato,节拍节奏与速度,True,no_exact_match
159,音量,громкость звука,,,节拍节奏与速度,True,no_exact_match
160,力度层次,динамические оттенки,力度层次。указания,,节拍节奏与速度,True,no_exact_match
183,全音,тон,,,音阶调式与和声,True,no_exact_match
195,十度,децима,十度。особая ритмическая фигура,,音阶调式与和声,True,no_exact_match
200,十五度,квинтдецима,十五度。один из составных интервалов,см.,音阶调式与和声,True,no_exact_match
202,小,малая,八度,октава,音阶调式与和声,False,no_exact_match
204,减,уменьшенная,五度,квинта,音阶调式与和声,False,no_exact_match
206,大音程,большие интервалы,五声调式,пентатоника,音阶调式与和声,True,no_exact_match
207,多利亚六度,дорийская секста,,,音阶调式与和声,True,no_exact_match
208,基础,основание интервала,五六和弦,квинтсекстаккорд,音阶调式与和声,True,no_exact_match
209,增音程,увеличенные интервалы,五音,квинтовый тон,音阶调式与和声,True,no_exact_match
210,减音程,уменьшенные интервалы,十一度,ундецима,音阶调式与和声,True,no_exact_match
211,弗里吉亚二度,фригийская секунда,,,音阶调式与和声,True,no_exact_match
212,半音音程,хроматические интервалы,半音音程。интервалы,,音阶调式与和声,True,no_exact_match
213,半音,хроматический полутон,半音。полутон,,音阶调式与和声,True,no_exact_match
214,纯音程,чистые интервалы,纯音程。группа интервалов,,音阶调式与和声,True,no_exact_match
216,自然音程,диатонические интервалы,自然音程。интервалы,,音阶调式与和声,True,no_exact_match
217,自然半音,диатонический полутон,自然半音。полутон,,音阶调式与和声,True,no_exact_match
218,利底亚四度,лидийская кварта,利底亚四度。IV,,音阶调式与和声,True,no_exact_match
219,小音程,малые интервалы,,,音阶调式与和声,True,no_exact_match
220,混合利底亚七度,миксолидийская септима,小大七和弦,большой минорный септаккорд,音阶调式与和声,True,no_exact_match
221,音程转位,обращение интервала,大大七和弦,большой мажорный септаккорд,音阶调式与和声,True,no_exact_match
222,基本音程,основные интервалы,小大七和弦,малый мажорный септаккорд / small major seventh chord,音阶调式与和声,True,no_exact_match
223,单音程,простые интервалы,大小七和弦/属七和弦,малый мажорный септаккорд / доминанта септаккорд,音阶调式与和声,True,no_exact_match
228,七和弦,септаккорд,回音,группетто,音阶调式与和声,False,no_exact_match
231,二和弦,секундаккорд,和弦,аккорд,音阶调式与和声,True,no_exact_match
232,大三和弦,мажорное трезвучие,大调,мажор,音阶调式与和声,False,no_exact_match
233,小三和弦,минорное трезвучие,增大七和弦,большой увеличенный септаккорд,音阶调式与和声,False,no_exact_match
234,增三和弦,увеличенное трезвучие,和声大调,гармонический мажор,音阶调式与和声,True,no_exact_match
235,减三和弦,уменьшенное трезвучие,和声小调,гармонический минор,音阶调式与和声,True,no_exact_match
237,小小七,малый минорный / минорный септаккорд,六度,секста,音阶调式与和声,False,no_exact_match
238,减小七,малый уменьшенный септаккорд,六和弦,секстаккорд,音阶调式与和声,False,no_exact_match
239,减减七,уменьшенный септаккорд,旋律小调,мелодический минор,音阶调式与和声,True,no_exact_match
242,增大七,увеличенный септаккорд,九度,нона,音阶调式与和声,False,no_exact_match
243,导七,вводный септаккорд,男高音,тенор,音阶调式与和声,False,no_exact_match
244,转位,обращение,小调,минор,音阶调式与和声,False,no_exact_match
245,和弦音,аккордовый звук,延留音,задержание,音阶调式与和声,True,no_exact_match
246,大七和弦,большие септаккорды,卡农,канон,音阶调式与和声,True,no_exact_match
247,大三和弦,большое трезвучие,模仿,имитация,音阶调式与和声,True,no_exact_match
